number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
4615,-9999.0,POSCAR191069,0.0,0.0,0.6,0.0,-0.45,0.0,0.0,-0.16,-0.28,0.0,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.576,0.075,0.554,0.927,1.809
4616,-9999.0,POSCAR191107,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,1.09,-0.58,0.0,0.5,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.0,1.019,1.895,1.901
4617,-9999.0,POSCAR191108,0.0,0.0,0.0,0.0,0.0,0.0,0.58,-0.49,0.0,1.09,0.0,0.0,0.0,0.55,0.3,0.0,0.0,0.0,0.0,0.0,-0.25,0.428,0.11,1.028,1.49,1.896
4618,-9999.0,POSCAR191139,0.0,0.0,0.0,0.0,0.0,0.0,-0.73,0.32,0.0,0.0,0.0,0.67,0.61,0.0,0.0,0.0,0.0,0.41,-0.59,0.0,0.0,0.655,0.144,0.669,1.404,1.839
4619,-9999.0,POSCAR191168,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.3,0.0,0.32,0.0,0.0,0.59,0.28,0.0,0.0,0.582,0.109,0.536,0.911,1.851
4620,-9999.0,POSCAR191177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.36,0.0,0.65,0.48,0.0,0.0,0.0,0.06,0.0,-0.61,0.212,0.032,0.784,1.123,1.829
4621,-9999.0,POSCAR191285,0.0,0.15,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.21,0.0,0.0,0.44,0.0,0.0,-0.84,0.0,0.0,0.579,0.102,0.926,1.507,1.821
4622,-9999.0,POSCAR191323,0.0,0.0,0.5,0.0,0.0,0.0,-1.12,0.0,0.71,0.0,0.0,-0.2,0.0,0.0,0.0,-0.67,0.0,-0.11,0.0,0.0,0.0,0.673,0.197,0.668,1.584,1.839
4623,-9999.0,POSCAR191340,0.0,0.0,0.3,0.0,0.0,0.0,0.88,0.0,0.0,0.4,0.0,0.0,-0.54,0.0,0.64,0.0,0.0,0.0,-0.09,0.0,0.0,0.686,0.198,0.965,1.317,1.814
4624,-9999.0,POSCAR191361,0.0,-0.61,0.24,0.0,-0.49,0.0,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.839,0.083,0.701,1.327,1.837
4625,-9999.0,POSCAR191389,0.58,0.0,0.0,0.0,0.0,0.21,0.0,0.38,-0.32,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,-0.35,0.0,0.0,0.594,0.088,0.699,1.206,1.835
4626,-9999.0,POSCAR191410,0.0,0.0,0.0,-0.54,0.81,0.0,0.0,0.0,0.0,0.0,-0.69,0.0,0.21,0.0,0.0,0.28,0.0,0.0,0.0,-0.46,0.0,0.576,0.123,0.654,1.326,1.917
4627,-9999.0,POSCAR191547,-0.2,0.0,0.51,0.34,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.26,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.054,0.512,0.93,1.842
4628,-9999.0,POSCAR191583,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,-0.37,-0.86,0.0,-0.17,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,0.409,0.114,0.727,1.288,1.899
4629,-9999.0,POSCAR191585,0.0,0.0,-0.63,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,-0.12,0.0,0.44,-0.28,0.0,0.0,0.0,0.0,0.0,0.448,0.002,0.737,0.978,1.822
4630,-9999.0,POSCAR191600,0.0,0.0,-0.18,0.0,0.74,0.0,0.26,-0.2,0.0,0.0,0.0,0.0,0.45,0.0,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.554,0.047,0.771,1.332,1.903
4631,-9999.0,POSCAR191690,0.33,0.0,-0.05,0.0,0.0,0.0,-0.55,0.0,0.98,0.0,-0.27,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.047,0.576,1.473,1.827
4632,-9999.0,POSCAR191712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.16,0.0,0.55,0.0,0.0,0.62,0.11,0.0,0.0,0.44,0.0,0.483,0.127,0.786,1.526,1.843
4633,-9999.0,POSCAR191755,0.0,0.19,0.0,0.0,0.0,0.0,0.63,-0.09,0.0,0.0,0.0,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,-0.62,0.34,0.0,0.564,0.214,0.835,1.33,1.817
4634,-9999.0,POSCAR191839,0.0,0.0,0.0,0.0,0.0,0.54,0.0,-0.35,0.0,0.08,0.99,0.37,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.179,0.087,0.814,1.267,1.848
4635,-9999.0,POSCAR191955,0.0,0.68,-0.61,0.0,0.0,0.0,-0.33,0.0,0.29,1.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.046,0.795,1.575,1.822
4636,-9999.0,POSCAR191999,0.0,0.0,0.0,-0.5,0.23,0.0,0.0,0.0,0.0,0.0,-0.38,-0.94,0.0,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.259,0.004,0.752,1.197,1.898
4637,-9999.0,POSCAR192004,0.0,-0.64,0.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,0.0,-0.74,0.0,-0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.167,0.002,0.757,1.448,1.806
4638,-9999.0,POSCAR192056,0.0,0.0,0.31,0.0,0.0,0.0,0.16,0.29,0.0,0.97,-0.57,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,0.072,0.699,1.332,1.877
4639,-9999.0,POSCAR192084,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,-0.58,0.0,0.0,-0.37,0.0,-0.24,0.15,0.0,0.305,0.06,0.568,1.043,1.874
4640,-9999.0,POSCAR192146,0.0,-0.21,0.0,0.0,0.0,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.79,-0.6,-0.98,0.0,0.0,0.0,0.0,0.0,0.52,0.132,0.851,1.54,1.81
